Div DNA DNA/Academ-H DNA/CMC-EnSpm DNA/Crypton-F DNA/Ginger DNA/Ginger-2 DNA/IS3EU DNA/Kolobok-H DNA/MULE-MuDR DNA/MULE-MuDR? DNA/Maverick DNA/Merlin DNA/P DNA/P-Fungi DNA/PIF-Harbinger DNA/PiggyBac DNA/Sola-2 DNA/TcMar-Ant1 DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Pogo DNA/TcMar-Sagan DNA/TcMar-Tc1 DNA/TcMar-Tigger DNA/hAT-Ac DNA/hAT-Charlie DNA/hAT-hAT19 DNA/hAT-hATw LINE/CR1 LINE/CRE LINE/Deceiver LINE/L1 LINE/L1-Tx1 LINE/Penelope LINE/Tad1 LTR LTR/Copia LTR/Gypsy LTR/Unknown RC/Helitron Satellite Simple_repeat Unknown rRNA 
0 6979 0 0 0 0 0 0 0 6571 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 0 420 0 0 172 751 0 28 0 0 645055 227835 0 0 0 35622 0 
1 0 0 0 0 0 0 0 0 5708 0 0 0 0 0 0 3605 0 0 0 0 304 0 0 0 0 0 2512 0 2384 0 0 4357 5486 0 0 0 0 117575 124732 0 0 0 76109 0 
2 0 0 0 0 0 0 0 0 141182 0 0 0 0 0 0 8776 0 0 0 0 1193 0 0 0 0 0 7538 0 6305 0 0 9626 24017 0 0 0 76 757423 861247 126 0 0 256203 0 
3 0 0 0 0 0 0 0 0 903308 0 0 0 0 0 31 2217 19530 0 0 0 11757 0 0 6300 0 0 7538 0 1709 0 0 40570 38106 0 0 0 0 2687205 1987221 19035 0 0 1230614 0 
4 0 0 0 0 0 0 0 0 1494354 0 43 44 0 0 0 6409 27813 0 0 0 11103 0 0 22831 0 0 5095 0 8814 0 0 41223 58059 0 0 0 0 5303642 2062402 87816 0 0 3243685 0 
5 0 0 0 0 0 110 0 0 1423756 0 0 1211 0 0 0 2117 14705 0 0 0 4749 0 0 47029 0 0 0 0 9352 0 0 26643 33744 0 0 0 0 6587305 2523954 73300 0 0 4338384 0 
6 0 0 0 0 0 93 0 0 1189262 0 853 0 0 0 0 8720 11170 0 0 0 5521 0 0 35484 0 0 0 0 2312 0 0 18783 48320 0 0 0 0 8968628 2601380 40948 0 0 3490312 125 
7 0 0 0 0 0 0 0 0 1268575 0 0 3551 0 0 30 8578 2863 0 0 0 7098 0 0 38751 0 0 0 0 4054 0 0 16796 57258 0 0 0 30 8961068 2387663 24688 0 0 3150428 0 
8 1308 0 0 0 0 290 0 49 1116173 40 1992 5276 0 0 0 6387 5012 37 0 0 7059 0 0 2915 0 0 119 0 6482 0 0 8049 41750 0 74 0 37 8158356 1883340 52139 0 0 3010102 0 
9 0 0 0 0 0 244 0 0 1113710 0 10266 5016 0 0 0 9167 8578 0 0 0 3373 0 0 16248 0 0 78 0 6476 0 0 7322 47838 0 35 0 66 7408756 1966706 53275 0 0 2916573 35 
10 82 0 0 0 0 891 0 0 1252291 0 14212 8420 0 0 0 9390 23624 0 0 0 3540 0 0 7527 0 54 81 0 10144 0 0 4856 57371 0 102 0 0 8307850 1917656 51371 0 0 3099506 145 
11 0 0 0 0 0 2730 0 0 1466544 0 25028 7297 78 0 37 10253 7619 0 0 0 1220 0 0 6106 0 209 2439 0 23403 0 0 215 45099 0 49 0 134 7776080 1791827 57435 0 0 3144002 0 
12 0 0 88 0 0 968 0 0 1392813 0 33397 8800 0 0 44 2885 2361 36 0 0 6945 53 0 2014 0 1248 682 0 12480 0 0 554 22063 0 88 0 78 7607260 1770787 30587 0 0 3186967 0 
13 372 0 0 0 0 804 0 0 1070196 0 43246 5673 0 0 0 2016 15596 0 0 0 4218 0 0 13899 0 0 0 0 20762 0 0 3993 39755 0 0 0 167 7812970 1775585 39709 0 0 3347599 0 
14 0 0 0 0 0 7694 0 0 996148 0 42468 7399 0 0 0 6775 9584 0 0 0 588 0 0 10971 0 2221 0 0 13557 0 39 5259 32759 0 188 0 121 7946529 1744233 12405 0 0 3607807 0 
15 338 0 0 0 0 3487 0 0 955451 0 37093 13096 0 0 0 3047 9808 0 0 0 2203 50 0 13100 0 985 78 0 3780 0 0 8248 29300 0 141 0 115 7621527 1699503 39619 0 0 3923243 0 
16 322 0 0 0 0 7151 0 0 1019314 0 44121 5462 0 0 0 9254 7220 65 0 0 1175 0 0 5750 0 1139 404 0 18096 0 0 12474 10724 0 48 57 205 7008086 1496933 35901 0 0 4075433 0 
17 259 0 0 0 0 16950 0 0 835174 0 39371 9290 0 0 0 5082 11375 0 132 0 1748 0 0 6846 0 721 0 0 2594 0 0 4502 17828 0 103 0 213 6966545 1557071 20079 0 0 4110606 0 
